genome	domain	taxon_name
637000163	Archaea	Methanosphaera stadtmanae DSM 3091
643886144	Archaea	Methanobrevibacter smithii DSM 2375
643886215	Archaea	"Methanobrevibacter smithii F1, DSM 2374"
2518645582	Archaea	Methanomassiliicoccus luminyensis B10
2534682115	Archaea	Halorubrum lipolyticum DSM 21995
637000024	Bacteria	Bacteroides fragilis NCTC 9343
637000025	Bacteria	Bacteroides fragilis YCH46
637000026	Bacteria	Bacteroides thetaiotaomicron VPI-5482
637000028	Bacteria	Bartonella quintana Toulouse
637000031	Bacteria	Bifidobacterium longum NCC2705
637000055	Bacteria	Campylobacter jejuni jejuni NCTC 11168
637000101	Bacteria	Enterococcus faecalis V583
637000104	Bacteria	Escherichia coli sv. O6:K15:H31 536
637000107	Bacteria	Escherichia coli O157:H7 EDL933 (EHEC)
637000108	Bacteria	Escherichia coli O157:H7 Sakai (EHEC)
637000109	Bacteria	Escherichia coli UTI89 (UPEC)
637000132	Bacteria	Helicobacter pylori 26695
637000133	Bacteria	Helicobacter pylori HPAG1
637000134	Bacteria	Helicobacter pylori J99
637000138	Bacteria	Lactobacillus acidophilus NCFM
637000139	Bacteria	Lactobacillus delbrueckii bulgaricus sv. E Lb14
637000140	Bacteria	Lactobacillus johnsonii NCC 533
637000143	Bacteria	Lactobacillus salivarius salivarius UCC118
637000154	Bacteria	Listeria monocytogenes sv. 4b F2365
637000209	Bacteria	Porphyromonas gingivalis W83
637000333	Bacteria	Vibrio cholerae sv. O1 bv. El Tor N16961
638341053	Bacteria	Campylobacter jejuni jejuni HB93-13
638341055	Bacteria	Campylobacter upsaliensis RM3195
638341085	Bacteria	Escherichia coli O148:H28 B7A (CS6:LT+:ST+)(ETEC)
638341086	Bacteria	Escherichia coli O111:H9 E110019 (EPEC)
638341089	Bacteria	Escherichia coli O139:H28 F11 (ETEC)
638341118	Bacteria	Listeria monocytogenes 4b H7858
638341238	Bacteria	Yersinia bercovieri ATCC 43970
639633010	Bacteria	Bifidobacterium adolescentis ATCC 15703
639633017	Bacteria	Campylobacter jejuni jejuni sv. Penner 23/36 81-176
639633028	Bacteria	Lactobacillus casei ATCC 334
639633030	Bacteria	Lactobacillus gasseri ATCC 33323
640427118	Bacteria	Lactobacillus reuteri DSM 20016
640612206	Bacteria	Collinsella aerofaciens ATCC 25986
640753008	Bacteria	Bacteroides vulgatus ATCC 8482
640753009	Bacteria	Campylobacter concisus 13826
640753010	Bacteria	Campylobacter curvus 525.92
640753011	Bacteria	Campylobacter hominis ATCC BAA-381
640753015	Bacteria	Citrobacter koseri ATCC BAA-895
640753024	Bacteria	Escherichia coli sv. O139:H28 E24377A (ETEC)
640753025	Bacteria	Escherichia coli sv. O9 HS
640753039	Bacteria	Parabacteroides distasonis ATCC 8503
640753060	Bacteria	Yersinia pseudotuberculosis sv. O:1b IP 31758
640963004	Bacteria	Vibrio cholerae sv. O14 MZO-2
640963014	Bacteria	Pseudoflavonifractor capillosus ATCC 29799
640963015	Bacteria	Bifidobacterium adolescentis L2-32
640963016	Bacteria	Parabacteroides merdae ATCC 43184
640963022	Bacteria	Eubacterium ventriosum ATCC 27560
640963023	Bacteria	Bacteroides caccae ATCC 43185
640963024	Bacteria	Blautia obeum ATCC 29174
640963025	Bacteria	Ruminococcus torques ATCC 27756
640963041	Bacteria	Campylobacter jejuni jejuni CG8486
640963046	Bacteria	Dorea longicatena DSM 13814
640963047	Bacteria	Listeria monocytogenes sv. 4b HPB2262
640963057	Bacteria	Ruminococcus gnavus ATCC 29149
640963059	Bacteria	Listeria monocytogenes FSL N1-017
640963060	Bacteria	Listeria monocytogenes sv. 1/2a1 FSL N3-165
641380420	Bacteria	Faecalibacterium prausnitzii M21/2
641380421	Bacteria	Parvimonas micra ATCC 33270
641380422	Bacteria	Coprococcus eutactus ATCC 27759
641380427	Bacteria	Clostridium leptum DSM 753
641380428	Bacteria	Clostridium bolteae ATCC BAA-613
641380446	Bacteria	Absiella dolichum DSM 3991
641380447	Bacteria	Bacteroides uniformis ATCC 8492
641380448	Bacteria	Clostridium sp. L2-50
641380449	Bacteria	Bacteroides ovatus ATCC 8483
641522623	Bacteria	Escherichia coli C ATCC 8739
641522625	Bacteria	Escherichia coli DH10B
641522627	Bacteria	Finegoldia magna ATCC 29328
641522633	Bacteria	Lactobacillus fermentum IFO 3956
641736113	Bacteria	Intestinibacter bartlettii DSM 16795
641736122	Bacteria	Burkholderia oklahomensis EO147
641736133	Bacteria	Dorea formicigenerans ATCC 27755
641736163	Bacteria	Escherichia albertii TW07627
641736169	Bacteria	Clostridium spiroforme DSM 1552
641736171	Bacteria	Streptococcus infantarius infantarius ATCC BAA-102
641736172	Bacteria	Providencia stuartii ATCC 25827
641736184	Bacteria	Eubacterium siraeum DSM 15702
641736189	Bacteria	Bifidobacterium dentium ATCC 27678
641736193	Bacteria	Anaerofustis stercorihominis DSM 17244
641736196	Bacteria	Bacteroides stercoris ATCC 43183
641736197	Bacteria	Clostridium scindens ATCC 35704
641736198	Bacteria	Erysipelatoclostridium ramosum DSM 1402
641736205	Bacteria	Alistipes putredinis DSM 17216
