genome	domain	taxon_name
3300001498	*Microbiome	"Human fecal microbial communities from the University of Tokyo - healthy human sample In-A, Adult, Male (Healthy human gut microbiome - Hu-FA)"
3300001499	*Microbiome	"Human fecal microbial communities from the University of Tokyo - healthy human sample In-D, Adult, Male (Healthy human gut microbiome - Hu-FD)"
3300001502	*Microbiome	"Human fecal microbial communities from the University of Tokyo - healthy human sample In-M, Infant, Female (Healthy human gut microbiome - Hu-FM)"
3300001549	*Microbiome	"Human fecal microbial communities from the University of Tokyo - healthy human sample In-R, Adult, Male (Healthy human gut microbiome - Hu-FR)"
3300001553	*Microbiome	"Human fecal microbial communities from the University of Tokyo - healthy human sample In-E, Infant, Male (Healthy human gut microbiome - InEA)"
3300001556	*Microbiome	"Human fecal microbial communities from the University of Tokyo - healthy human sample In-B, Infant, Male (Healthy human gut microbiome - InDA)"
3300001557	*Microbiome	"Human fecal microbial communities from the University of Tokyo - healthy human sample F2-W, Adult, Female"
3300001558	*Microbiome	"Human fecal microbial communities from the University of Tokyo - healthy human sample F2-X, Child, Male"
3300001559	*Microbiome	"Human fecal microbial communities from the University of Tokyo - healthy human sample F2-V, Adult, Male (Healthy human gut microbiome - Hu-FV)"
3300001560	*Microbiome	"Human fecal microbial communities from the University of Tokyo - healthy human sample F2-Y, Child, Female (Healthy human gut microbiome - Hu-FY)"
3300001561	*Microbiome	"Human fecal microbial communities from the University of Tokyo - healthy human sample F1-U, Infant, Female (Healthy human gut microbiome - Hu-FU)"
3300001562	*Microbiome	"Human fecal microbial communities from the University of Tokyo - healthy human sample F1-T, Adult, Female (Healthy human gut microbiome - Hu-FT)"
3300001602	*Microbiome	"Human fecal microbial communities from the University of Tokyo - healthy human sample F1-S, Adult, Male"
3300002248	*Microbiome	"Human fecal microbial communities from Valencia, Spain, of mother-infant pairs - MIP02-MA"
3300002249	*Microbiome	"Human fecal microbial communities from Valencia, Spain, of mother-infant pairs - MIP01-MA"
3300002250	*Microbiome	"Human fecal microbial communities from Valencia, Spain, of mother-infant pairs - MIP03-MA"
3300002251	*Microbiome	"Human fecal microbial communities from Valencia, Spain, of mother-infant pairs - MIP08-MA"
3300002252	*Microbiome	"Human fecal microbial communities from Valencia, Spain, of mother-infant pairs - MIP16-MA"
3300002253	*Microbiome	"Human fecal microbial communities from Valencia, Spain, of mother-infant pairs - MIP21-MA"
3300002254	*Microbiome	"Human fecal microbial communities from Valencia, Spain, of mother-infant pairs - MIP12-MA"
3300002255	*Microbiome	"Human fecal microbial communities from Valencia, Spain, of mother-infant pairs - MIP07-MA"
3300002256	*Microbiome	"Human fecal microbial communities from Valencia, Spain, of mother-infant pairs - MIP06-MA"
3300002257	*Microbiome	"Human fecal microbial communities from Valencia, Spain, of mother-infant pairs - MIP02-MB"
3300002258	*Microbiome	"Human fecal microbial communities from Valencia, Spain, of mother-infant pairs - MIP06-MB"
3300002260	*Microbiome	"Human fecal microbial communities from Valencia, Spain, of mother-infant pairs - MIP09-MA"
3300002261	*Microbiome	"Human fecal microbial communities from Valencia, Spain, of mother-infant pairs - MIP19-MA"
3300002262	*Microbiome	"Human fecal microbial communities from Valencia, Spain, of mother-infant pairs - MIP07-MB"
3300002264	*Microbiome	"Human fecal microbial communities from Valencia, Spain, of mother-infant pairs - MIP03-MB"
3300002265	*Microbiome	"Human fecal microbial communities from Valencia, Spain, of mother-infant pairs - MIP01-MB"
3300002266	*Microbiome	"Human fecal microbial communities from Valencia, Spain, of mother-infant pairs - MIP17-MA"
3300002267	*Microbiome	"Human fecal microbial communities from Valencia, Spain, of mother-infant pairs - MIP08-MB"
3300002268	*Microbiome	"Human fecal microbial communities from Valencia, Spain, of mother-infant pairs - MIP09-MB"
3300002282	*Microbiome	"Human fecal microbial communities from Valencia, Spain, of mother-infant pairs - MIP17-I3"
3300002283	*Microbiome	"Human fecal microbial communities from Valencia, Spain, of mother-infant pairs - MIP09-I3"
3300002284	*Microbiome	"Human fecal microbial communities from Valencia, Spain, of mother-infant pairs - MIP03-I3"
3300002285	*Microbiome	"Human fecal microbial communities from Valencia, Spain, of mother-infant pairs - MIP07-I3"
3300002286	*Microbiome	"Human fecal microbial communities from Valencia, Spain, of mother-infant pairs - MIP13-I3"
3300002287	*Microbiome	"Human fecal microbial communities from Valencia, Spain, of mother-infant pairs - MIP19-I3"
3300002288	*Microbiome	"Human fecal microbial communities from Valencia, Spain, of mother-infant pairs - MIP16-I3"
3300002289	*Microbiome	"Human fecal microbial communities from Valencia, Spain, of mother-infant pairs - MIP08-I3"
3300002290	*Microbiome	"Human fecal microbial communities from Valencia, Spain, of mother-infant pairs - MIP12-I3"
3300002291	*Microbiome	"Human fecal microbial communities from Valencia, Spain, of mother-infant pairs - MIP06-I3"
3300002292	*Microbiome	"Human fecal microbial communities from Valencia, Spain, of mother-infant pairs - MIP21-I3"
