Genome	Domain	EC:1.13.11.49	EC:1.21.99.1	EC:1.21.99.2	EC:1.21.99.3	EC:1.21.99.4	EC:1.97.1.1	EC:1.97.1.10	EC:1.97.1.11	EC:1.97.1.8	EC:3.8.1.-	EC:3.8.1.1	EC:3.8.1.10	EC:3.8.1.11	EC:3.8.1.2	EC:3.8.1.3	EC:3.8.1.4	EC:3.8.1.5	EC:3.8.1.6	EC:3.8.1.7	EC:3.8.1.8	EC:3.8.1.9	EC:4.5.1.-	EC:4.5.1.1	EC:4.5.1.2	EC:4.5.1.3	EC:4.5.1.4	EC:4.5.1.5	pfam13486
Absiella dolichum DSM 3991 	B	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acetomicrobium hydrogeniformans ATCC BAA-1850 	B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acidaminococcus intestini RyC-MR95 	B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acidaminococcus sp. D21 	B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter baumannii AB900 	B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter junii SH205 	B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Adlercreutzia equolifaciens DSM 19450 	B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aeromicrobium massiliense JC14 	B	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aeromonas hydrophila SSU 	B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aeromonas sp. 159 	B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aeromonas veronii AMC34 	B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Akkermansia muciniphila ATCC BAA-835 	B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
