taxon_oid	Domain	Sequencing Status	Study Name	Genome Name / Sample Name	Sequencing Center	IMG Genome ID 	Phylum	Class	Order	Family	Genus	Species	IMG Submission ID	Assembly Method	Genome Completeness %	NCBI Taxon ID	NCBI Project ID	Strain	Ecosystem	Ecosystem Category	Ecosystem Subtype	Ecosystem Type	Habitat	Host Name	Oxygen Requirement	Sample Body Site	Sample Body Subsite	Specific Ecosystem	Genome Size   * assembled	Gene Count   * assembled
2518645582	Archaea	Permanent Draft	Methanomassiliicoccus luminyensis B10	Methanomassiliicoccus luminyensis B10	Aix-Marseille University	2518645582	Euryarchaeota	Thermoplasmata	Methanomassiliicoccales	Methanomassiliicoccaceae	Methanomassiliicoccus	Methanomassiliicoccus luminyensis	11458	Newbler		1175296	0	B10	Host-associated	Human	Large intestine	Digestive system	"Feces, Gastrointestinal tract, Host"	Homo sapiens		Gastrointestinal tract		Fecal	2620233	2669
637000163	Archaea	Finished	Methanosphaera stadtmanae DSM 3091	Methanosphaera stadtmanae DSM 3091	Max Planck Institute	637000163	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanosphaera	Methanosphaera stadtmanae	0	Phrap		339860	15579	DSM 3091	Host-associated	Human	Large intestine	Digestive system	"Feces, Gastrointestinal tract, Host, Intestinal tract"	Homo sapiens	Anaerobe	Gastrointestinal tract		Fecal	1767403	1592
643886144	Archaea	Permanent Draft	Human Microbiome Project (HMP) Reference Genomes	Methanobrevibacter smithii DSM 2375	Washington University in St. Louis	643886144	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	Methanobrevibacter smithii	0	Newbler v. 2.0.00.20		483214	27821	DSM 2375	Host-associated	Human	Unclassified	Digestive system	"Host, Human intestinal microflora"	Homo sapiens	Anaerobe	Gastrointestinal tract	Intestinal tract	Unclassified	1704865	1748
2534682115	Archaea	Permanent Draft	Halorubrum lipolyticum DSM 21995	Halorubrum lipolyticum DSM 21995	"University of California, Davis"	2534682115	Euryarchaeota	Halobacteria	Haloferacales	Halorubraceae	Halorubrum	Halorubrum lipolyticum	18569	A5 pipeline v. Nov-2011		1227482	0	DSM 21995	Host-associated	Human	Large intestine	Digestive system	"Feces, Gastrointestinal tract, Host"	Homo sapiens	Aerobe	Gastrointestinal tract	Intestinal tract	Fecal	3425042	3267
643886215	Archaea	Permanent Draft	Human Microbiome Project (HMP) Reference Genomes	"Methanobrevibacter smithii F1, DSM 2374"	Washington University in St. Louis	643886215	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	Methanobrevibacter smithii	0	Newbler v. 2.0.00.20		521002	29303	"F1, DSM 2374"	Host-associated	Human	Large intestine	Digestive system	"Feces, Gastrointestinal tract, Host, Human intestinal microflora"	Homo sapiens	Anaerobe	Gastrointestinal tract		Fecal	1707624	1749
643886140	Bacteria	Permanent Draft	Human Microbiome Project (HMP) Reference Genomes	Bifidobacterium longum longum ATCC 55813	Baylor College of Medicine	643886140	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium longum	0	Newbler v. 1.1.03.24		548480	31437	ATCC 55813	Host-associated	Human	Large intestine	Digestive system	"Feces, Gastrointestinal tract, Host, Human fecal, Human intestinal microflora"	Homo sapiens	Anaerobe	Gastrointestinal tract	Gut	Fecal	2372858	2168
651053029	Bacteria	Finished	Helicobacter pylori sequencing project - Univ of Hyderabad	Helicobacter pylori 2017	University of Hyderabad	651053029	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter pylori	0			985081	62769	2017	Host-associated	Human	Unclassified	Unclassified	"Host, Human stomach"	Homo sapiens	Aerobe	Gastrointestinal tract		Unclassified	1548238	1632
649633017	Bacteria	Finished	Human Microbiome Project (HMP) Reference Genomes	Bifidobacterium longum infantis 157F-NC	University of Tokyo	649633017	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium longum	0	Phred-Phrap-Consed		565040	32051	157F-NC	Host-associated	Human	Large intestine	Digestive system	Host	Homo sapiens	Anaerobe	Gastrointestinal tract		Fecal	2408831	2070
642979312	Bacteria	Permanent Draft	Human Microbiome Project (HMP) Reference Genomes	"Bifidobacterium catenulatum DSM 16992, JCM 1194, LMG 11043"	Washington University in St. Louis	642979312	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium catenulatum	0	Newbler v. 2.0.00.20		566552	30749	B669	Host-associated	Human	Large intestine	Digestive system	"Host, Human fecal, Human intestinal microflora"	Homo sapiens	Anaerobe	Gastrointestinal tract		Fecal	2058429	2009
649990006	Bacteria	Permanent Draft	Human Microbiome Project (HMP) Reference Genomes	Streptococcus equinus ATCC 9812	Baylor College of Medicine	649990006	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus equinus	0	Newbler v. 2.3-042010		525379	52999	ATCC 9812	Host-associated	Mammals	Large intestine	Digestive system	"Feces, Gastrointestinal tract, Host"	Homo sapiens	Facultative	Gastrointestinal tract	Gut	Fecal	1718633	1836
651053040	Bacteria	Finished	Lactobacillus johnsonii DPC 6026	Lactobacillus johnsonii DPC 6026	Teagasc	651053040	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus johnsonii	0			909954	56053	DPC 6026	Host-associated	Human			"Gut, Host, Human intestinal microflora, Human vaginal microflora"	Homo sapiens	Microaerophilic	Gastrointestinal tract	Gut		1966342	1840
647000340	Bacteria	Permanent Draft	Vibrio mimicus MB-451	Vibrio mimicus MB-451	Los Alamos National Laboratory	647000340	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio mimicus	0			675806	40509	MB-451	Host-associated	Human	Unclassified	Unclassified	"Host, Marine"	Homo sapiens	Facultative	Gastrointestinal tract		Unclassified	4313453	3891
643886102	Bacteria	Permanent Draft	Human Microbiome Project (HMP) Reference Genomes	"Bifidobacterium breve DSM 20213, JCM 1192"	Washington University in St. Louis	643886102	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium breve	0	Newbler v. 2.0.00.20		518634	29259	S1	Host-associated	Human	Unclassified	Digestive system	"Host, Human fecal, Human intestinal microflora"	Homo sapiens	Anaerobe	Gastrointestinal tract		Unclassified	2297799	2308
648231709	Bacteria	Finished	"Genome sequencing of Helicobacter pylori, Washington University Medical School"	Helicobacter pylori Cuz20	Washington University in St. Louis	648231709	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter pylori	0			765964	49029	Cuz20	Host-associated	Human	Unclassified	Unclassified	"Host, Human stomach"	Homo sapiens	Aerobe	Gastrointestinal tract		Unclassified	1635449	1606
649989945	Bacteria	Permanent Draft	Human Microbiome Project (HMP) Reference Genomes	Erysipelotrichaceae bacterium sp. 3_1_53	Broad Institute	649989945	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	unclassified	Erysipelotrichaceae bacterium 3_1_53	0	Newbler v. 2.1		658659	39371	3_1_53	Host-associated	Human	Large intestine	Digestive system	"Feces, Gastrointestinal tract, Host"	Homo sapiens		Gastrointestinal tract		Fecal	4458363	3913
643886109	Bacteria	Permanent Draft	Human Microbiome Project (HMP) Reference Genomes	Leuconostoc mesenteroides cremoris ATCC 19254	Baylor College of Medicine	643886109	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Leuconostoc	Leuconostoc mesenteroides	0	Newbler v. 2.0.0-Eclipse		586220	34629	ATCC 19254	Engineered	Food production	Unclassified	Dairy products	Host	Homo sapiens	Aerobe	Gastrointestinal tract		Unclassified	1638511	1898
637000154	Bacteria	Finished	Listeria monocytogenes 4b F2365	Listeria monocytogenes sv. 4b F2365	J. Craig Venter Institute (JCVI)	637000154	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria monocytogenes	0	"TIGR Assembler, Celera Assembler, Bambus"		265669	85	F2365	Engineered	Food production	Unclassified	Dairy products	"Food, Host, Intestinal tract, Soil"	Homo sapiens	Facultative	Gastrointestinal tract	Intestinal tract	Unclassified	2905187	3013
